transactionamount,transactionduration,loginattempts,accountbalance,hour,day_of_week,is_weekend,is_night,amount_zscore,amount_to_mean_ratio,rolling_tx_count_7d,rolling_spend_7d,is_debit,location_freq
733.29,94,5,10427.0,18,2,0,0,1.2605451269848194,2.1052020703288408,1.0,733.29,1,0.021894904458598725
117.55,35,1,897.94,16,4,0,0,-0.7556478673810929,0.3374742644344737,1.0,117.55,1,0.02388535031847134
688.36,22,1,5191.13,16,4,0,0,1.1134253179146594,1.9762125450116066,1.0,688.36,0,0.025079617834394906
25.36,78,1,201.04,17,0,0,0,-1.0575168902650918,0.07280601740585499,1.0,25.36,1,0.020302547770700636
304.31,33,1,868.61,16,2,0,0,-0.1441166957375781,0.87364349987286,1.0,304.31,1,0.020302547770700636
537.86,134,1,293.06,16,1,0,0,0.6206247110804927,1.544142134144841,1.0,537.86,1,0.02428343949044586
31.53,283,1,874.93,17,2,0,0,-1.0373137025962094,0.0905194688015224,1.0,31.53,1,0.02428343949044586
94.82,56,1,1267.72,16,1,0,0,-0.7096164863513185,0.2751356527290137,1.0,94.82,0,0.021496815286624203
8.65,273,1,10778.35,17,0,0,0,-0.9543931271138704,0.02509938194585497,1.0,8.65,1,0.021894904458598725
590.57,93,1,3224.6,16,2,0,0,0.6986232682968785,1.7136349128050372,1.0,590.57,1,0.021894904458598725
137.49,50,1,4471.05,16,2,0,0,-0.588407025270454,0.3989495981197226,1.0,137.49,1,0.02786624203821656
927.45,95,1,1161.84,18,0,0,0,1.6555729577489904,2.691147027246612,1.0,927.45,1,0.023487261146496817
308.8,41,1,3966.54,16,1,0,0,-0.10177958731022682,0.896033427153759,1.0,308.8,1,0.020302547770700636
33.46,111,1,3641.07,16,0,0,0,-1.1322134173737357,0.16409200137315483,1.0,33.46,1,0.02428343949044586
427.69,236,1,2443.54,16,1,0,0,1.486457720973274,2.0974449512039626,1.0,427.69,1,0.023487261146496817
75.04,178,1,9648.6,17,3,0,0,-0.8560184399938594,0.3680054926192929,1.0,75.04,1,0.018312101910828025
172.92,212,1,416.37,16,0,0,0,-0.2058509463444534,0.8480211858172723,1.0,172.92,1,0.025477707006369428
114.98,80,1,6144.68,16,2,0,0,-0.5907171558054932,0.5638762199009367,1.0,114.98,1,0.02428343949044586
422.81,193,1,1929.28,16,0,0,0,1.4540423412326826,2.073512824285224,1.0,422.81,1,0.02746815286624204
138.11,104,1,4177.65,17,0,0,0,-0.43707622683010733,0.6773086165465158,1.0,138.11,0,0.021894904458598725
246.27,141,1,7299.86,16,2,0,0,0.28137612414169233,1.2077387082536415,1.0,246.27,1,0.02388535031847134
719.76,190,1,690.52,17,3,0,0,1.4016883400979783,2.0667713159003025,1.0,719.76,1,0.02269108280254777
643.22,93,1,1035.86,17,2,0,0,1.1129042207880533,1.8469887821126385,1.0,643.22,1,0.02428343949044586
605.42,33,1,392.34,16,1,0,0,0.9702854631460989,1.738447107469658,1.0,605.42,1,0.02428343949044586
121.91,133,1,14510.8,18,0,0,0,-0.8539895502788017,0.35006125808798194,1.0,121.91,1,0.02388535031847134
174.25,67,1,10528.34,18,0,0,0,-0.6565116197237785,0.5003541483211456,1.0,174.25,1,0.02428343949044586
427.0,163,1,8253.65,17,0,0,0,0.2971098351440498,1.226118917263295,1.0,427.0,0,0.027070063694267517
85.77,93,1,9146.19,18,4,0,0,-0.9903451561301305,0.24628622841609554,1.0,85.77,1,0.021894904458598725
10.3,197,1,7801.32,16,3,0,0,-1.2750921836232065,0.029576170603775032,1.0,10.3,1,0.02388535031847134
346.65,60,1,6356.96,16,0,0,0,-0.006049349420262856,0.9953960718251081,1.0,346.65,1,0.01910828025477707
774.48,31,1,11613.58,16,0,0,0,1.4466430181285517,2.696798231105385,1.0,774.48,1,0.020302547770700636
73.35,47,1,1181.84,16,0,0,0,-0.6348165070060617,0.25541027560631646,1.0,73.35,1,0.02269108280254777
50.9,150,1,1277.7,16,0,0,0,-0.701464298912373,0.1772376690983164,1.0,50.9,0,0.02388535031847134
250.01,88,1,1541.48,16,0,0,0,-0.11036221221011693,0.8705538241899821,1.0,250.01,1,0.02428343949044586
50.0,87,1,185.87,18,4,0,0,-0.7472770408120062,0.1320439970598203,1.0,50.0,0,0.02388535031847134
1105.88,36,1,2636.32,17,0,0,0,1.6534741324388482,2.9204963093702823,1.0,1105.88,1,0.02587579617834395
26.27,177,1,8853.93,16,4,0,0,-0.8012318702824411,0.0693759160552296,1.0,26.27,0,0.016719745222929936
314.52,229,1,7071.32,17,0,0,0,-0.145838714157163,0.8306095591050937,2.0,340.78999999999996,1,0.025079617834394906
705.34,124,1,5003.22,18,1,0,0,0.7427675417903867,1.8627182577234733,1.0,705.34,1,0.01910828025477707
69.96,31,1,164.12,17,0,0,0,-0.7018940489776245,0.1847559606861006,1.0,69.96,1,0.020302547770700636
103.48,33,1,6494.25,16,0,0,0,-0.7262933002609349,0.4564824209272575,1.0,103.48,1,0.020302547770700636
492.84,38,1,577.67,17,2,0,0,1.5688902026170588,2.17407031629097,1.0,492.84,1,0.02308917197452229
261.63,150,1,477.03,18,0,0,0,0.20596289190095823,1.1541311923772553,1.0,261.63,1,0.02388535031847134
215.39,216,1,1582.55,16,2,0,0,-0.06661078072354981,0.9501521902157131,1.0,215.39,1,0.025079617834394906
60.11,122,1,7235.87,17,0,0,0,-0.9819490135335324,0.2651638801888041,1.0,60.11,0,0.016321656050955414
1228.81,254,1,1821.0,16,0,0,0,1.132530360585489,2.222521658919496,1.0,1228.81,1,0.02269108280254777
331.32,137,5,13054.54,17,0,0,0,-0.37124918924566047,0.5992512072925898,1.0,331.32,1,0.02109872611464968
98.54,167,1,9383.43,16,4,0,0,-0.7612811713398285,0.17822713378791444,1.0,98.54,0,0.018312101910828025
291.46,135,1,7142.53,16,2,0,0,0.2752368783113265,1.2295426022210736,1.0,291.46,1,0.025477707006369428
41.13,58,1,6067.54,17,0,0,0,-0.99101715794274,0.17350952868096056,1.0,41.13,0,0.026671974522292995
489.31,36,1,5595.22,16,0,0,0,1.276029276637005,2.0641854480642063,2.0,530.44,1,0.020302547770700636
126.29,56,1,1122.35,18,0,0,0,-0.5602489970055918,0.532762421033759,1.0,126.29,1,0.02428343949044586
359.65,289,1,219.53,17,3,0,0,-0.2253034624199255,0.8544988001615622,1.0,359.65,0,0.02388535031847134
91.77,174,1,9240.73,17,2,0,0,-1.2108405544030993,0.21803796716481738,1.0,91.77,1,0.02587579617834395
353.82,143,1,705.75,17,0,0,0,-0.2467521754491247,0.8406471999809926,1.0,353.82,1,0.021894904458598725
28.52,163,1,662.51,16,4,0,0,-1.4435388561349785,0.06776117275297583,1.0,28.52,1,0.025079617834394906
288.04,63,1,1748.02,16,3,0,0,-0.4887584092502788,0.6843593337926774,1.0,288.04,1,0.024681528662420384
603.23,48,1,117.98,17,3,0,0,0.6708333334038074,1.4332248330917816,2.0,891.27,1,0.025079617834394906
589.64,210,1,2039.4,16,3,0,0,0.6208353899961198,1.400936111573095,1.0,589.64,1,0.027070063694267517
592.24,140,1,9817.05,16,0,0,0,0.6304008537827267,1.4071134975884434,1.0,592.24,1,0.026671974522292995
881.1,16,1,9951.68,16,0,0,0,1.6931238804747517,2.0934210838936536,1.0,881.1,1,0.021894904458598725
263.59,16,1,6996.35,16,0,0,0,-0.825984438746544,0.49461689661157676,1.0,263.59,1,0.01950636942675159
762.74,244,1,207.1,17,1,0,0,0.7048289115438549,1.431253430409022,1.0,762.74,1,0.02746815286624204
416.55,73,1,922.96,17,4,0,0,-0.3568805420012381,0.7816406854719539,2.0,1179.29,1,0.027070063694267517
180.24,144,1,8431.23,17,0,0,0,-1.081605580180391,0.33821370099499454,1.0,180.24,1,0.021894904458598725
1142.83,48,1,2467.39,17,4,0,0,1.870504252246805,2.144478272903404,1.0,1142.83,0,0.02587579617834395
275.92,107,1,1777.38,18,0,0,0,-0.7881702974882435,0.5177536860771133,1.0,275.92,0,0.021894904458598725
486.61,130,1,2006.69,16,1,0,0,-0.14201770854166612,0.9131056870904033,1.0,486.61,0,0.02109872611464968
734.86,290,1,6242.03,16,4,0,0,0.6193254031674224,1.3789376404415317,1.0,734.86,0,0.02428343949044586
91.53,69,1,14676.05,16,0,0,0,-0.45680616297572574,0.4719987623762376,1.0,91.53,1,0.021894904458598725
1.82,60,1,5571.39,17,3,0,0,-0.85704135079243,0.009385313531353134,1.0,1.82,1,0.02269108280254777
514.33,160,1,1592.94,16,4,0,0,1.4294878667746096,2.652279290429043,1.0,514.33,1,0.026671974522292995
168.0,11,1,3498.58,16,3,0,0,-0.11564035300645392,0.8663366336633662,1.0,168.0,0,0.026671974522292995
422.9,111,1,7616.43,16,0,0,0,1.7216143339859966,2.02709827919536,1.0,422.9,1,0.026671974522292995
126.22,77,4,6133.41,16,3,0,0,-0.6620728334157994,0.6050138207615,1.0,126.22,1,0.02428343949044586
59.73,56,1,800.93,16,0,0,0,-1.196289362202861,0.2863054627957882,1.0,59.73,1,0.02388535031847134
191.89,14,1,399.57,16,1,0,0,-0.1344446269870683,0.9197916500231677,1.0,191.89,1,0.023487261146496817
196.08,98,1,4233.82,16,4,0,0,-0.10077990664389186,0.939875693035295,1.0,196.08,1,0.02269108280254777
254.92,169,1,2791.12,16,0,0,0,0.3719723952636234,1.221915094188889,1.0,254.92,0,0.023487261146496817
820.46,243,1,5621.86,16,0,0,0,1.5810494981757839,2.874893127952121,1.0,820.46,0,0.02786624203821656
84.89,70,1,4735.61,17,0,0,0,-0.5924385172187077,0.29745469325970253,1.0,84.89,1,0.023487261146496817
28.78,51,1,680.55,16,0,0,0,-0.7582343116961673,0.100845165178634,1.0,28.78,0,0.026671974522292995
423.53,81,1,5453.4,17,3,0,0,0.4081868230387668,1.4840497848543033,2.0,452.30999999999995,0,0.02428343949044586
69.28,129,1,708.74,16,0,0,0,-0.6385634922996762,0.24275722875523845,1.0,69.28,1,0.02746815286624204
350.11,178,1,4639.04,17,0,0,0,0.7071067811865476,1.6857741290897272,1.0,350.11,0,0.023487261146496817
65.26,72,1,7380.63,17,4,0,0,-0.7071067811865476,0.31422587091027276,1.0,65.26,1,0.02109872611464968
329.69,66,1,1671.66,16,0,0,0,1.4348878320255622,2.0776380880360463,1.0,329.69,0,0.023487261146496817
90.88,176,1,3908.47,16,0,0,0,-0.5689457586064341,0.5727069351230425,1.0,90.88,1,0.016321656050955414
278.27,123,1,6684.34,16,0,0,0,1.003427159397543,1.7535998991713142,1.0,278.27,1,0.026671974522292995
66.5,144,1,6820.23,16,3,0,0,-0.773516182540139,0.41906922519456785,1.0,66.5,0,0.020302547770700636
147.46,205,1,7458.03,16,3,0,0,-0.09418798230745844,0.929262375145729,1.0,147.46,0,0.016321656050955414
39.31,178,1,1236.38,17,0,0,0,-1.001665067969074,0.2477234773293002,1.0,39.31,1,0.016719745222929936
262.06,118,1,13587.52,16,0,0,0,0.5250516937757954,1.4100871686336407,1.0,262.06,1,0.027070063694267517
277.02,227,1,8586.38,16,0,0,0,0.6281146749543192,1.4905836352548696,1.0,277.02,0,0.024681528662420384
18.46,213,1,6381.6,16,0,0,0,-1.1531663687301146,0.09932919611148977,1.0,18.46,1,0.027070063694267517
107.48,103,1,1379.39,17,1,0,0,-0.7440725431548351,0.14857822198260967,1.0,107.48,1,0.02746815286624204
398.36,56,1,1863.7,16,1,0,0,-0.3926643482028479,0.550684969380279,1.0,398.36,1,0.021496815286624203
1664.33,65,1,1588.31,17,0,0,0,1.136736891357683,2.300736808637111,1.0,1664.33,1,0.023487261146496817
129.48,179,1,7581.7,16,0,0,0,-0.43696021860426154,0.4000164768397421,1.0,129.48,1,0.02428343949044586
11.18,144,1,7467.3,16,0,0,0,-0.7031323060414459,0.034539575309455645,1.0,11.18,1,0.025477707006369428
116.97,299,1,729.7,16,2,0,0,-0.4651074106062833,0.36136798961959093,1.0,116.97,1,0.027070063694267517
390.35,61,1,7095.88,18,1,0,0,0.14999085873925763,1.2059501987518795,1.0,390.35,0,0.02587579617834395
101.19,75,1,14389.45,18,2,0,0,-0.5006120221004403,0.31261714003254176,1.0,101.19,0,0.024681528662420384
1192.95,73,1,325.15,18,0,0,0,1.9558210986131734,3.6855086194467903,2.0,1294.14,1,0.021894904458598725
520.86,66,1,9200.74,16,0,0,0,1.4326405110629814,1.5785230831397112,1.0,520.86,0,0.02109872611464968
384.41,65,1,7831.56,16,0,0,0,0.408593236487946,1.1649964642893222,1.0,384.41,1,0.02388535031847134
76.89,132,1,7374.26,17,2,0,0,-1.899321881704175,0.23302353773108397,1.0,76.89,1,0.02388535031847134
348.17,181,1,1887.84,17,2,0,0,0.13661468587893688,1.0551671886049097,2.0,425.06,1,0.018312101910828025
251.4,178,1,2561.67,16,2,0,0,-0.5896370895745346,0.7618951409233257,1.0,251.4,1,0.026671974522292995
211.1,136,1,7059.77,16,3,0,0,-0.8920856433698732,0.6397615920800082,1.0,211.1,1,0.025477707006369428
456.93,193,1,7284.76,16,1,0,0,0.9528505347816913,1.384776240024245,1.0,456.93,0,0.021894904458598725
363.84,118,3,5415.64,17,3,0,0,0.2542168902951389,1.1026568340236387,1.0,363.84,1,0.021496815286624203
356.1,187,1,868.35,16,2,0,0,0.19612875614189063,1.079199919183756,2.0,719.94,0,0.02786624203821656
239.85,50,1,1477.63,16,3,0,0,-0.4548197631008672,0.6377745475173282,1.0,239.85,1,0.026671974522292995
341.67,96,5,1442.29,16,0,0,0,-0.11486516688193522,0.9085196149687118,1.0,341.67,1,0.02587579617834395
248.76,117,1,6178.77,18,0,0,0,-0.42507123184658824,0.6614667352112177,1.0,248.76,1,0.016719745222929936
1020.73,87,1,1119.61,16,0,0,0,2.152366890753381,2.714178085834323,1.0,1020.73,1,0.02786624203821656
43.91,86,1,1806.68,18,3,0,0,-1.1090203482819465,0.11675914272039141,1.0,43.91,1,0.016321656050955414
52.23,96,1,105.01,18,0,0,0,-1.0812416973239667,0.13888248745811987,1.0,52.23,0,0.02269108280254777
467.13,45,1,3914.84,17,3,0,0,0.30401819239548755,1.2421247629008527,1.0,467.13,0,0.02428343949044586
582.17,135,1,7310.83,16,3,0,0,0.688111462372171,1.548022548793675,1.0,582.17,1,0.026671974522292995
388.21,237,1,9724.49,16,1,0,0,0.04052166191426471,1.0322720745953804,1.0,388.21,0,0.021496815286624203
40.57,63,1,1476.91,17,0,0,0,-0.6903732598251223,0.2701694802384044,1.0,40.57,1,0.021496815286624203
63.54,136,1,4401.78,18,0,0,0,-0.5456780294023561,0.4231345519928079,1.0,63.54,1,0.01950636942675159
46.53,34,1,4468.12,17,3,0,0,-0.652829351539546,0.3098591549295775,1.0,46.53,1,0.02269108280254777
397.01,100,1,719.52,17,0,0,0,1.554954033683401,2.6438251256950687,1.0,397.01,1,0.02746815286624204
305.92,88,1,1445.47,16,2,0,0,0.9811495696342164,2.037225718376453,1.0,305.92,1,0.018312101910828025
47.42,28,1,8253.52,16,1,0,0,-0.6472229625505925,0.3157859687676889,1.0,47.42,1,0.023487261146496817
202.11,18,1,746.47,16,3,0,0,-0.18927036411604373,0.80210338327215,1.0,202.11,1,0.025079617834394906
95.35,131,1,1639.9,16,2,0,0,-0.5944945508808853,0.3784105566028375,1.0,95.35,1,0.02388535031847134
72.47,72,1,1305.56,18,1,0,0,-0.6813391499177865,0.2876078976088897,1.0,72.47,1,0.02428343949044586
637.97,90,1,7949.03,17,0,0,0,1.4651040649147156,2.5318781625161226,2.0,710.44,1,0.02308917197452229
73.23,14,1,787.74,16,4,0,0,-0.6586881035050656,0.30637745970797287,1.0,73.23,1,0.016719745222929936
78.92,95,1,5624.86,18,3,0,0,-0.6360814298367495,0.33018310965660547,1.0,78.92,0,0.02388535031847134
813.78,55,1,14935.5,17,0,0,0,2.2835565687394803,3.404668157328337,1.0,813.78,0,0.02428343949044586
171.16,42,1,6126.5,16,3,0,0,-0.2696069871011654,0.7160940325497287,1.0,171.16,1,0.02308917197452229
211.18,90,1,4069.17,16,0,0,0,-0.11060539128288605,0.8835284984450322,1.0,211.18,1,0.01910828025477707
53.51,165,1,5773.5,16,3,0,0,-0.7370367159372613,0.2238735199914465,1.0,53.51,1,0.02308917197452229
471.88,141,1,14833.34,18,0,0,0,0.9251696219561297,1.9742372755291304,2.0,525.39,0,0.023487261146496817
70.88,176,1,1794.65,16,0,0,0,-0.6680247789216813,0.2965456007660947,1.0,70.88,0,0.02587579617834395
206.63,128,1,7626.53,16,3,0,0,-0.1286827841108014,0.8644923460256511,2.0,277.51,0,0.027070063694267517
71.95,53,1,9267.32,16,0,0,0,-0.6767678938333124,0.2236694852026859,1.0,71.95,0,0.02587579617834395
710.43,115,1,5625.55,17,2,0,0,1.0535118677279467,2.2084991295697587,1.0,710.43,1,0.023487261146496817
58.85,115,1,1789.8,17,0,0,0,-0.7122688725271672,0.1829457846306889,1.0,58.85,0,0.021894904458598725
26.92,43,1,1674.94,18,3,0,0,-0.7987991205954716,0.08368565033573738,2.0,85.77000000000001,1,0.02308917197452229
740.25,123,1,14464.3,17,2,0,0,1.1343240192280044,2.301199950261129,1.0,740.25,1,0.026671974522292995
79.8,76,1,6372.58,17,4,0,0,-0.7071067811865477,0.6302073050345508,1.0,79.8,1,0.02786624203821656
173.45,161,1,9077.62,16,0,0,0,0.7071067811865475,1.369792694965449,2.0,253.25,1,0.026671974522292995
301.73,163,1,990.74,16,1,0,0,0.0,1.0,1.0,301.73,1,0.026671974522292995
737.46,75,4,634.16,16,1,0,0,1.4775704124538411,2.4341368188762518,1.0,737.46,0,0.016321656050955414
138.06,159,1,1070.47,17,1,0,0,-0.5607894333352954,0.45569512816160235,1.0,138.06,1,0.027070063694267517
634.86,45,1,588.5,16,3,0,0,1.1286619703818266,2.095484637582753,1.0,634.86,1,0.02388535031847134
50.29,64,1,7604.9,16,0,0,0,-0.8592659826594737,0.16599238009015632,1.0,50.29,0,0.023487261146496817
416.37,67,1,7936.91,16,2,0,0,0.38565022078811895,1.3743139251966274,1.0,416.37,1,0.021496815286624203
4.15,119,1,6017.36,16,3,0,0,-1.0161727615795786,0.01369791961372338,1.0,4.15,0,0.02587579617834395
139.57,263,3,271.78,17,4,0,0,-0.5556544260494403,0.46067919047888484,1.0,139.57,1,0.02786624203821656
228.4,116,1,9598.43,16,3,0,0,-0.739443454621942,0.39035128197240193,1.0,228.4,1,0.02587579617834395
294.15,136,1,6362.16,16,3,0,0,-0.6031482513459487,0.502722546375578,1.0,294.15,1,0.02388535031847134
199.8,163,1,167.28,16,0,0,0,-0.7987292768834386,0.3414719182928455,1.0,199.8,1,0.025079617834394906
1237.56,159,1,9410.17,17,0,0,0,1.3524754402526042,2.115075011023493,1.0,1237.56,0,0.023487261146496817
965.66,32,1,765.81,17,0,0,0,0.7888455425987246,1.6503792423356813,1.0,965.66,1,0.023487261146496817
50.28,65,1,5729.1,16,3,0,0,-0.7587718097878938,0.30613735996103264,1.0,50.28,1,0.027070063694267517
34.31,251,1,1484.76,16,4,0,0,-0.8651037315351092,0.20890160740379932,1.0,34.31,1,0.026671974522292995
124.59,171,1,129.29,17,4,0,0,-0.263998791313531,0.7585849975645397,1.0,124.59,1,0.027070063694267517
212.88,122,1,7036.72,18,4,0,0,0.32385627262270217,1.2961519727228445,1.0,212.88,1,0.02388535031847134
7.49,276,1,3634.67,17,4,0,0,-1.0436774410692553,0.04560399415489527,1.0,7.49,0,0.025079617834394906
348.44,147,1,1022.94,17,0,0,0,1.226445835055546,2.121529469069654,1.0,348.44,1,0.020302547770700636
371.69,143,1,3484.32,16,4,0,0,1.3812496660275408,2.263090599123234,1.0,371.69,1,0.02269108280254777
135.94,258,1,4710.21,16,2,0,0,-0.8368515792584305,0.6448521877727601,1.0,135.94,1,0.025079617834394906
114.15,52,1,1612.4,16,1,0,0,-1.080413527113872,0.5414879890706236,1.0,114.15,1,0.02428343949044586
336.05,164,1,1635.05,17,0,0,0,1.3999167266319972,1.5941045880611742,1.0,336.05,1,0.023487261146496817
246.41,23,1,1431.6,17,4,0,0,0.39794825459152966,1.1688835338317332,1.0,246.41,1,0.025079617834394906
221.49,196,1,707.25,18,2,0,0,0.11940012514877608,1.0506717012637092,1.0,221.49,0,0.027070063694267517
320.14,96,1,3075.97,16,1,0,0,-0.8334236221384222,0.6355925052736071,1.0,320.14,1,0.021894904458598725
655.81,164,2,4539.99,16,4,0,0,0.6907339242362445,1.3020176200521156,1.0,655.81,1,0.02587579617834395
309.42,42,1,8564.46,16,2,0,0,-0.882099312242204,0.6143094676758903,1.0,309.42,1,0.02388535031847134
729.38,90,1,9127.65,17,1,0,0,1.0247890101443815,1.4480804069983868,1.0,729.38,1,0.02746815286624204
487.32,164,1,7707.96,18,3,0,0,0.0,1.0,1.0,487.32,1,0.02428343949044586
1074.29,79,1,2011.6,16,3,0,0,1.7602006650648014,2.9111656694415537,1.0,1074.29,1,0.016719745222929936
244.64,103,1,9159.56,18,1,0,0,-0.31043719606988046,0.6629379118973291,1.0,244.64,1,0.026671974522292995
248.95,29,1,3059.79,16,4,0,0,-0.2996803116228359,0.6746173690600069,1.0,248.95,0,0.02269108280254777
72.68,44,1,6216.77,17,4,0,0,-0.7396144233352572,0.1969519597641346,1.0,72.68,1,0.02428343949044586
204.56,179,1,364.72,17,0,0,0,-0.410468734036828,0.5543270898369754,1.0,204.56,0,0.023487261146496817
